pid,condition,tlx_item,tlx_score
1,Viz,Mental Demand,4.0
1,Viz,Physical Demand,2.0
1,Viz,Temporal Demand,1.0
1,Viz,Performance,3.0
1,Viz,Effort,3.0
1,Viz,Frustration,2.0
1,No Viz,Mental Demand,2.0
1,No Viz,Physical Demand,2.0
1,No Viz,Temporal Demand,1.0
1,No Viz,Performance,2.0
1,No Viz,Effort,1.0
1,No Viz,Frustration,1.0
2,Viz,Mental Demand,5.0
2,Viz,Physical Demand,5.0
2,Viz,Temporal Demand,7.0
2,Viz,Performance,12.0
2,Viz,Effort,6.0
2,Viz,Frustration,3.0
2,No Viz,Mental Demand,9.0
2,No Viz,Physical Demand,13.0
2,No Viz,Temporal Demand,10.0
2,No Viz,Performance,11.0
2,No Viz,Effort,13.0
2,No Viz,Frustration,12.0
3,Viz,Mental Demand,8.0
3,Viz,Physical Demand,3.0
3,Viz,Temporal Demand,3.0
3,Viz,Performance,11.0
3,Viz,Effort,5.0
3,Viz,Frustration,2.0
3,No Viz,Mental Demand,5.0
3,No Viz,Physical Demand,3.0
3,No Viz,Temporal Demand,3.0
3,No Viz,Performance,11.0
3,No Viz,Effort,3.0
3,No Viz,Frustration,3.0
4,Viz,Mental Demand,8.0
4,Viz,Physical Demand,10.0
4,Viz,Temporal Demand,8.0
4,Viz,Performance,10.0
4,Viz,Effort,9.0
4,Viz,Frustration,6.0
4,No Viz,Mental Demand,3.0
4,No Viz,Physical Demand,3.0
4,No Viz,Temporal Demand,9.0
4,No Viz,Performance,5.0
4,No Viz,Effort,14.0
4,No Viz,Frustration,2.0
5,No Viz,Mental Demand,1.0
5,No Viz,Physical Demand,5.0
5,No Viz,Temporal Demand,9.0
5,No Viz,Performance,20.0
5,No Viz,Effort,5.0
5,No Viz,Frustration,1.0
5,Viz,Mental Demand,1.0
5,Viz,Physical Demand,10.0
5,Viz,Temporal Demand,3.0
5,Viz,Performance,3.0
5,Viz,Effort,6.0
5,Viz,Frustration,1.0
6,No Viz,Mental Demand,14.0
6,No Viz,Physical Demand,11.0
6,No Viz,Temporal Demand,7.0
6,No Viz,Performance,5.0
6,No Viz,Effort,10.0
6,No Viz,Frustration,9.0
6,Viz,Mental Demand,15.0
6,Viz,Physical Demand,15.0
6,Viz,Temporal Demand,8.0
6,Viz,Performance,6.0
6,Viz,Effort,16.0
6,Viz,Frustration,14.0
7,No Viz,Mental Demand,9.0
7,No Viz,Physical Demand,12.0
7,No Viz,Temporal Demand,3.0
7,No Viz,Performance,6.0
7,No Viz,Effort,16.0
7,No Viz,Frustration,9.0
7,Viz,Mental Demand,12.0
7,Viz,Physical Demand,10.0
7,Viz,Temporal Demand,6.0
7,Viz,Performance,13.0
7,Viz,Effort,11.0
7,Viz,Frustration,10.0
8,No Viz,Mental Demand,8.0
8,No Viz,Physical Demand,6.0
8,No Viz,Temporal Demand,6.0
8,No Viz,Performance,7.0
8,No Viz,Effort,6.0
8,No Viz,Frustration,2.0
8,Viz,Mental Demand,2.0
8,Viz,Physical Demand,2.0
8,Viz,Temporal Demand,3.0
8,Viz,Performance,4.0
8,Viz,Effort,1.0
8,Viz,Frustration,1.0
9,Viz,Mental Demand,20.0
9,Viz,Physical Demand,18.0
9,Viz,Temporal Demand,11.0
9,Viz,Performance,16.0
9,Viz,Effort,20.0
9,Viz,Frustration,20.0
9,No Viz,Mental Demand,15.0
9,No Viz,Physical Demand,19.0
9,No Viz,Temporal Demand,11.0
9,No Viz,Performance,10.0
9,No Viz,Effort,16.0
9,No Viz,Frustration,17.0
10,Viz,Mental Demand,12.0
10,Viz,Physical Demand,9.0
10,Viz,Temporal Demand,7.0
10,Viz,Performance,1.0
10,Viz,Effort,12.0
10,Viz,Frustration,9.0
10,No Viz,Mental Demand,16.0
10,No Viz,Physical Demand,18.0
10,No Viz,Temporal Demand,7.0
10,No Viz,Performance,3.0
10,No Viz,Effort,14.0
10,No Viz,Frustration,12.0
11,Viz,Mental Demand,10.0
11,Viz,Physical Demand,5.0
11,Viz,Temporal Demand,2.0
11,Viz,Performance,10.0
11,Viz,Effort,14.0
11,Viz,Frustration,2.0
11,No Viz,Mental Demand,4.0
11,No Viz,Physical Demand,2.0
11,No Viz,Temporal Demand,1.0
11,No Viz,Performance,6.0
11,No Viz,Effort,5.0
11,No Viz,Frustration,1.0
12,No Viz,Mental Demand,7.0
12,No Viz,Physical Demand,9.0
12,No Viz,Temporal Demand,1.0
12,No Viz,Performance,2.0
12,No Viz,Effort,7.0
12,No Viz,Frustration,3.0
12,Viz,Mental Demand,2.0
12,Viz,Physical Demand,9.0
12,Viz,Temporal Demand,3.0
12,Viz,Performance,2.0
12,Viz,Effort,2.0
12,Viz,Frustration,1.0
13,No Viz,Mental Demand,10.0
